,portfolio
2006-01-04,-0.0059249344505609884
2006-01-05,0.00853965746352348
2006-01-06,0.00616869995142019
2006-01-09,-0.00409622531264953
2006-01-10,0.0038548815231288333
2006-01-11,-0.0011885069649402399
2006-01-12,0.0062047049933023
2006-01-13,-0.0014483364934970286
2006-01-17,-0.008587401374791435
2006-01-18,0.00964525500987728
2006-01-19,-0.010794498251694467
2006-01-20,0.004800195874382107
2006-01-23,-0.0006783222967746683
2006-01-24,0.00044492381620847067
2006-01-25,0.0005033858854763334
2006-01-26,0.0032659416367698977
2006-01-27,0.005021605000816656
2006-01-30,-0.003014872608633006
2006-01-31,0.0027929481796694702
2006-02-01,-0.0039814276059632996
2006-02-02,-0.003612561825794054
2006-02-03,0.002866682930182771
2006-02-06,-0.016817839818171185
2006-02-07,0.00531900733180779
2006-02-08,0.0073721085797495475
2006-02-09,-0.007711409345486943
2006-02-10,-0.006803464142725413
2006-02-13,0.008831994421792205
2006-02-14,-0.0017998196498344174
2006-02-15,0.007986102768250812
2006-02-16,0.002643983835687924
2006-02-17,-0.0007016789982693146
2006-02-21,0.005582393154028424
2006-02-22,-0.005058318126326508
2006-02-23,0.006410078521205221
2006-02-24,-0.0024094980887674772
2006-02-27,0.0007969033838358319
2006-02-28,0.0033739135998663025
2006-03-01,0.001967033802289517
2006-03-02,-0.005927328063142216
2006-03-03,-0.009700285194925592
2006-03-06,-0.002170129993029704
2006-03-07,-0.004412303467172351
2006-03-08,-0.0017999088804975234
2006-03-09,0.0017047087687107202
2006-03-10,0.0034368624213440167
2006-03-13,0.009622905006870264
2006-03-14,0.002502861083611435
2006-03-15,0.004029727543916858
2006-03-16,-0.0013846234561492145
2006-03-17,-0.0002175777654968863
2006-03-20,-0.006044574635803997
2006-03-21,0.0030293458061728686
2006-03-22,-0.0019427489311741103
2006-03-23,0.007337401859704384
2006-03-24,0.002167307939198302
2006-03-27,-0.006725909128874692
2006-03-28,0.007523747058284641
2006-03-29,0.005652565913138337
2006-03-30,-0.002524017452457038
2006-03-31,0.0015837075378407344
2006-04-03,0.0022616348927953995
2006-04-04,0.003690127287350222
2006-04-05,0.0010894607717221116
2006-04-06,-0.010584153945077108
2006-04-07,0.00627469344833895
2006-04-10,-0.006539749501096497
2006-04-11,0.0018404857554081362
2006-04-12,-0.001722694452893511
2006-04-13,0.008449750254066114
2006-04-17,0.011928857437142509
2006-04-18,0.008803883160752276
2006-04-19,-0.012904650626374714
2006-04-20,0.012061080776027475
2006-04-21,-0.0075649377763202024
2006-04-24,0.0009955776804910377
2006-04-25,0.0039107689773598625
2006-04-26,-0.0005982026166151404
2006-04-27,0.01180027334780364
2006-04-28,-0.005272483898197829
2006-05-01,0.010604299507532552
2006-05-02,-0.0027063966478654044
2006-05-03,0.006024817956541905
2006-05-04,0.007854630417732822
2006-05-05,-0.002387769273237695
2006-05-08,0.010130816053797453
2006-05-09,0.003093052931956647
2006-05-10,-0.004295536827169721
2006-05-11,-0.007855016024385071
2006-05-12,-0.014270850884980302
2006-05-15,0.006048089755471378
2006-05-16,-0.012869923203777278
2006-05-17,-0.0028799412127801963
2006-05-18,-0.004443760730156465
2006-05-19,-0.004688168877003079
2006-05-22,0.0009824457496551394
2006-05-23,-0.006599209874550428
2006-05-24,0.008344698022635651
2006-05-25,0.0042446477412028056
2006-05-26,-0.009008641317332212
2006-05-30,0.00028595538854779296
2006-05-31,-0.002251414301525774
2006-06-01,0.008085585377855838
2006-06-02,-0.008593866704108107
2006-06-05,-0.003806652450193058
2006-06-06,-0.005010369189721956
2006-06-07,-0.006711018382411698
2006-06-08,-0.0028146763737275926
2006-06-09,-0.007382804651629932
