,SPY,TLT,GLD,regime
2006-01-04,0.2000003466074048,0.499999656410825,0.2999999969817875,Bear
2006-01-05,0.20006834811937468,0.49993165525190103,0.2999999966287242,Bear
2006-01-06,0.4374513762881168,0.2625486240057101,0.2999999997061743,Bear
2006-01-09,0.4999987127455452,0.20000128968943098,0.2999999975650238,Bear
2006-01-10,0.49999999288560454,0.20000000687917563,0.3000000002352411,Bear
2006-01-11,0.4999999997392932,0.20000000019545358,0.3000000000652695,Bear
2006-01-12,0.4999999872664861,0.20000001201732806,0.30000000071618654,Bear
2006-01-13,0.49999999103900306,0.20000000739701632,0.3000000015639807,Bear
2006-01-17,0.4999999867799836,0.2000000125463641,0.300000000673655,Bear
2006-01-18,0.49999999972628195,0.20000000019051145,0.3000000000832293,Bear
2006-01-19,0.49999999960216035,0.20000000040077115,0.299999999997069,Bear
2006-01-20,0.4999999936684267,0.20000000418225428,0.30000000214931904,Bear
2006-01-23,0.4999999994397863,0.2000000004744022,0.30000000008581335,Bear
2006-01-24,0.49999999231177,0.20000000487204708,0.3000000028161828,Bear
2006-01-25,0.49999998716016797,0.20000001200340747,0.3000000008364251,Bear
2006-01-26,0.4999999888493794,0.20000001039156687,0.3000000007590537,Bear
2006-01-27,0.49999998623282776,0.20000001242320142,0.3000000013439707,Bear
2006-01-30,0.49999998509302535,0.20000001150269647,0.3000000034042779,Bear
2006-01-31,0.4999999997691802,0.20000000015065117,0.3000000000801559,Bear
2006-02-01,0.49999998728532263,0.20000001175778015,0.3000000009568977,Bear
2006-02-02,0.49999998679203667,0.20000001222551503,0.3000000009824506,Bear
2006-02-03,0.4999999998308822,0.20000000007980132,0.3000000000893229,Bear
2006-02-06,0.4999999990487489,0.20000000080320596,0.300000000148045,Bear
2006-02-07,0.499999998897126,0.20000000093311204,0.30000000016976236,Bear
2006-02-08,0.4999999998266917,0.20000000008510022,0.300000000088208,Bear
2006-02-09,0.49999998667428425,0.2000000122328411,0.30000000109287506,Bear
2006-02-10,0.49999998868080936,0.20000001034656797,0.30000000097262247,Bear
2006-02-13,0.4999999863927979,0.20000001257338135,0.3000000010338236,Bear
2006-02-14,0.4999999931035718,0.20000000579582086,0.30000000110060737,Bear
