,wf_portfolio
2008-01-07,-0.0003045479497071355
2008-01-08,0.0033567374135991864
2008-01-09,-0.0036099041589826935
2008-01-10,0.0032023950294533697
2008-01-11,0.005849836948692272
2008-01-14,-0.0014943765761994045
2008-01-15,-0.00872426596387361
2008-01-16,0.0008138362685137642
2008-01-17,-0.005125603205890839
2008-01-18,0.005106770250063293
2008-01-22,0.004088019397137106
2008-01-23,-0.006355292825359314
2008-01-24,0.006754037412358361
2008-01-25,0.004234618090501376
2008-01-28,-0.003842590712201638
2008-01-29,-0.004287484334745618
2008-01-30,0.007685871393057484
2008-01-31,0.00418235060757925
2008-02-01,-0.009798781315589762
2008-02-04,-0.004628606534042906
2008-02-05,-0.0016991022585887135
2008-02-06,-0.009910213039394551
2008-02-07,0.007123013653812505
2008-02-08,0.0043094737629489335
2008-02-11,-0.004595798331996118
2008-02-12,-0.0036577408561636517
2008-02-13,-0.010640409926762745
2008-02-14,0.0035940684855688154
2008-02-15,-0.0013686020610474189
2008-02-19,0.007573922537676648
2008-02-20,0.0042501914814617875
2008-02-21,-0.0016862674758663244
2008-02-22,-0.0040753188758833655
2008-02-25,0.0036262043798479158
2008-02-26,0.001977044943641393
2008-02-27,0.010014155304715078
2008-02-28,0.003770566464517514
2008-02-29,-0.0004769729458898608
2008-03-03,-0.01006998671009099
2008-03-04,-0.0014040060501508602
2008-03-05,-0.004051295673442763
2008-03-06,-0.002500104730082985
2008-03-07,0.004957300743450667
2008-03-10,0.003958662762168867
2008-03-11,0.010618152704784539
2008-03-12,-0.001910116126711932
2008-03-13,0.00393289219739551
2008-03-14,0.002713723305316767
2008-03-17,0.0034533553061246577
2008-03-18,-0.0025975979810640417
2008-03-19,0.00037451301068353385
2008-03-20,-0.0061236190285172114
2008-03-24,0.0074482538744345475
2008-03-25,-0.003615565297979788
2008-03-26,-0.005512218346333537
2008-03-27,0.0004104046535934737
2008-03-28,0.0002645685990547331
2008-03-31,-0.007600801502879203
2008-04-01,0.0059582170943486504
2008-04-02,0.0022004019935302197
2008-04-03,0.006560150529776952
2008-04-04,-0.0012579862593259164
2008-04-07,-0.0037960302096798704
2008-04-08,0.007747936629062095
2008-04-09,-0.0025526491518710203
2008-04-10,-0.001836818744521569
2008-04-11,-0.004617581056513756
2008-04-14,-0.005702575302861623
2008-04-15,0.0038349262986760763
2008-04-16,-0.0019105849774851784
2008-04-17,-0.0014326645858451811
2008-04-18,0.0017693819803408803
2008-04-21,0.0009352093149830652
2008-04-22,-0.004284440176597214
2008-04-23,-0.007655902187858643
2008-04-24,-0.0010235354443364165
2008-04-25,0.0026289014290742227
2008-04-28,-0.002378211205586148
2008-04-29,0.004293843087549134
2008-04-30,-3.0436262198466936e-05
2008-05-01,-0.005552103228201186
2008-05-02,0.0020871594454315565
2008-05-05,-0.0013713581756895244
2008-05-06,-0.003557955417118736
2008-05-07,0.007300526947285299
2008-05-08,0.0020247429538691733
2008-05-09,0.0010876837138040169
2008-05-12,-0.009470071304996962
2008-05-13,0.00040030133789676264
2008-05-14,0.011860537102296077
2008-05-15,0.0017863717858111307
2008-05-16,0.0019852488716409515
2008-05-19,0.0037895826121414223
2008-05-20,-0.0022095245621822296
2008-05-21,-0.008667928851452185
2008-05-22,-0.00036751112355818674
2008-05-23,-0.0055561224555905845
2008-05-27,-0.004468419487599243
2008-05-28,-0.007943781737764478
2008-05-29,0.006249139437552343
2008-05-30,0.0006181104115843813
2008-06-02,0.0006680808916533303
2008-06-03,-0.005788572012215025
2008-06-04,0.0010587943595932062
2008-06-05,0.004352586525007041
2008-06-06,-0.001406285412376155
2008-06-09,-0.00973247532096045
2008-06-10,-0.0022318617725422597
2008-06-11,-0.007655718619644591
2008-06-12,0.002341217772624539
2008-06-13,0.002550498482372511
2008-06-16,0.0004239616352030987
2008-06-17,0.004400212983874
2008-06-18,-0.002873278574327362
2008-06-19,0.00029182392969278464
2008-06-20,-0.0025300254438449473
2008-06-23,0.004107452117678857
2008-06-24,0.0013414626028735483
2008-06-25,0.002992784744552191
2008-06-26,0.007007616673291335
2008-06-27,0.0008796757421840592
2008-06-30,0.0016731507758799944
2008-07-01,-0.0003633122196742254
2008-07-02,-0.0030032892524813207
2008-07-03,-0.0014164304005977874
2008-07-07,0.007497877579506552
2008-07-08,0.000414151708853781
2008-07-09,0.0047764507683573845
2008-07-10,-0.00821602400150472
2008-07-11,0.004137877554911619
2008-07-14,-0.0032735122026909752
2008-07-15,-0.0076035900454303265
2008-07-16,-0.0008996223446172749
2008-07-17,-0.0007103360936137652
2008-07-18,0.004090939190007344
2008-07-21,-0.003800252470583578
2008-07-22,-0.004441561949870147
2008-07-23,0.0018089963818207272
2008-07-24,-0.005203454004056948
2008-07-25,0.002197702345608891
2008-07-28,0.0007861062843762074
2008-07-29,0.0029582260892309876
2008-07-30,0.0034505046104422706
2008-07-31,-0.001015613039577576
2008-08-01,-0.0064106248496320056
2008-08-04,-0.001719398280092749
2008-08-05,-0.00015147726636918638
2008-08-06,0.004512746923490911
2008-08-07,0.0028493987070539913
2008-08-08,-0.009804896348144656
2008-08-11,0.0014716118850650619
2008-08-12,-0.001336132258234795
2008-08-13,0.0008983720853658885
2008-08-14,0.0024667760094175756
2008-08-15,0.0014135476011174954
2008-08-18,-0.0014766188208205641
2008-08-19,0.001985878672186526
2008-08-20,0.004091776288266746
2008-08-21,0.0006674840170606635
2008-08-22,0.00031669445582712655
2008-08-25,0.0018521671077815131
2008-08-26,0.0036785845022643637
2008-08-27,0.0047896018288639
2008-08-28,-0.0062693641384521425
2008-08-29,-0.0015278199118006226
2008-09-02,0.0015636640976999267
2008-09-03,-0.0041040656751109355
2008-09-04,0.0017632102043174927
2008-09-05,0.0072721524040165
2008-09-08,-0.007041122870349966
2008-09-09,-0.007737205073761454
2008-09-10,0.0006446733540800107
2008-09-11,-0.0006841802801086649
2008-09-12,0.0107885043441578
2008-09-15,0.002327118117696572
2008-09-16,0.009655172275536571
2008-09-17,-0.006621149425987353
2008-09-18,-0.0028443533154383846
2008-09-19,0.00023424309057401473
2008-09-22,-0.009590071856006323
2008-09-23,0.0003605255147806157
2008-09-24,0.0022024221175844733
2008-09-25,0.0047231716510131826
2008-09-26,0.0018564858491796916
2008-09-29,-0.012732989603402885
2008-09-30,0.009205511697981877
2008-10-01,-0.011528921647580303
2008-10-02,0.002267289853442743
2008-10-03,0.0007918196487234543
2008-10-06,-0.00022052993660675105
2008-10-07,-0.011102622791913899
2008-10-08,-0.022258175590946477
2008-10-09,-0.022508693781241852
2008-10-10,0.023904282472878898
2008-10-13,-0.007168184591162179
2008-10-14,-0.018164098099264402
2008-10-15,-0.0005757396639118478
2008-10-16,-0.009739157338830365
2008-10-17,0.02189619078938095
2008-10-20,-0.009427595183584775
2008-10-21,-0.01117795538236929
2008-10-22,0.00495238202748704
2008-10-23,-0.016146476636116444
2008-10-24,-0.008664623555545637
2008-10-27,0.022118298761360605
2008-10-28,-0.004406594008117852
2008-10-29,-7.371990394197409e-05
2008-10-30,-0.00954729457134167
2008-10-31,0.0017768404911054434
