Date,prob_state_0,prob_state_1,prob_state_2
2005-01-04,1.0,9.614825099377178e-139,8.927103944948867e-123
2005-01-05,0.9999964520274447,9.070264397404757e-08,3.4572693863052724e-06
2005-01-06,0.9999957940942522,1.0261530843026312e-07,4.103289379583691e-06
2005-01-07,0.9999980517078136,7.694471440980439e-08,1.8713459729987682e-06
2005-01-10,0.9999981528652604,6.525113435390339e-08,1.7818852898526504e-06
2005-01-11,0.9999969127031727,6.832281909293234e-08,3.018975079873809e-06
2005-01-12,0.9999982177375808,5.600799618005539e-08,1.726254902091096e-06
2005-01-13,0.9999951085129886,1.0323710551181112e-07,4.788251562165713e-06
2005-01-14,0.999998083885674,6.58097430264783e-08,1.8503046684469114e-06
2005-01-18,0.9999961415125515,6.257406377933579e-08,3.7959142739309857e-06
2005-01-19,0.9999952856671538,7.901612250079959e-08,4.635316099569448e-06
2005-01-20,0.9999975161621403,7.91020542843865e-08,2.4047363206297966e-06
2005-01-21,0.9999943369672389,1.0048732004325583e-07,5.562546844725947e-06
2005-01-24,0.9999970575561381,1.2584047810867362e-07,2.8166031480772996e-06
2005-01-25,0.9999941225387293,1.5120218059434743e-07,5.726260115200808e-06
2005-01-26,0.9999973856136035,8.167693137106703e-08,2.532711063120914e-06
2005-01-27,0.999998507262012,6.443763060828961e-08,1.428299313941215e-06
2005-01-28,0.9999975465064466,6.688974150827766e-08,2.3866029854534822e-06
2005-01-31,0.9999963346084642,7.175101638522972e-08,3.5936396362451364e-06
2005-02-01,0.9999982716050384,5.4753742506486645e-08,1.6736398434820574e-06
2005-02-02,0.9999988973146796,3.7924118436421054e-08,1.0647606495714955e-06
2005-02-03,0.9999979614060837,4.9838530748699274e-08,1.988754142225668e-06
2005-02-04,0.9999866757803845,3.536293915767136e-08,1.3288857152364215e-05
2005-02-07,0.9999979866099498,5.0804007533087235e-08,1.9625866856058203e-06
2005-02-08,0.9999987578092698,3.95516037437629e-08,1.2026398372691328e-06
2005-02-09,0.9999976415993458,5.356765229829264e-08,2.304832515033592e-06
2005-02-10,0.9999889492566,1.0420594619533326e-07,1.0946536268416916e-05
2005-02-11,0.9999972574843331,5.6758640227954655e-08,2.6857568904207783e-06
2005-02-14,0.9999983818610776,3.5319710179010337e-08,1.5828183266941578e-06
2005-02-15,0.9999985895347834,4.259175847788817e-08,1.3678745166832612e-06
2005-02-16,0.9999988488022868,3.553665006016379e-08,1.1156606783674504e-06
2005-02-17,0.9999963246913703,3.010323201761835e-08,3.6452068958520546e-06
2005-02-18,0.9999963848633205,5.3473227687784766e-08,3.561663228201177e-06
2005-02-22,0.9998671832679135,5.5837839730543965e-08,0.00013276089342035776
2005-02-23,0.9999958733072728,6.096807617318046e-08,4.0657251771083855e-06
2005-02-24,0.9999982825844395,5.0974783472491044e-08,1.6664425222057002e-06
2005-02-25,0.9999971649380484,3.671278737298245e-08,2.7983482944021323e-06
2005-02-28,0.999996078055534,3.0220751024393106e-08,3.891724225601538e-06
2005-03-01,0.999998349501309,4.256155246056725e-08,1.6079372502398131e-06
2005-03-02,0.9999989140639157,3.6274637340457084e-08,1.049663103336488e-06
2005-03-03,0.9999985756486379,4.360098263251781e-08,1.380751377756269e-06
2005-03-04,0.999991309368417,2.706780435968275e-08,8.663562254281904e-06
2005-03-07,0.9999987940107526,3.37820382939397e-08,1.1722089570273212e-06
2005-03-08,0.9999919121837241,3.928843526997472e-08,8.048527078511496e-06
2005-03-09,0.99997422500495,2.1655005103989596e-08,2.5753340112087e-05
2005-03-10,0.9999984092259103,3.399696729726343e-08,1.556775825658197e-06
2005-03-11,0.9999964183580708,3.1139351794076925e-08,3.550501643651642e-06
2005-03-14,0.9999966758969773,4.5388920476177886e-08,3.278714326536756e-06
2005-03-15,0.9999966252310162,3.636124290746637e-08,3.3384080029559128e-06
2005-03-16,0.9999957069941338,7.066212342309444e-08,4.222344397565099e-06
2005-03-17,0.9999973112862556,6.681809381548182e-08,2.6218954423921166e-06
2005-03-18,0.9999980753364403,4.7017321650289054e-08,1.877647702034943e-06
2005-03-21,0.999994564390584,7.923241641572731e-08,5.3563771950220725e-06
2005-03-22,0.9999917506988019,5.4898379051287764e-08,8.194401885204213e-06
2005-03-23,0.9999975181484717,7.215565256846498e-08,2.40969451468152e-06
2005-03-24,0.9999985661717167,5.71629515505482e-08,1.3766662291496179e-06
2005-03-28,0.9999974245944453,8.102987708193114e-08,2.4943743792778905e-06
2005-03-29,0.9999956298292996,1.1200563747333082e-07,4.258164497081664e-06
2005-03-30,0.9999821052552269,1.0255995973149416e-07,1.779218334991506e-05
2005-03-31,0.9999972754631753,7.445521730953664e-08,2.650080575018756e-06
2005-04-01,0.9999980102640407,4.472017060402012e-08,1.945014307724018e-06
2005-04-04,0.9999983302746229,3.971678633622808e-08,1.6300073721695882e-06
2005-04-05,0.9999981863782598,3.87518276583443e-08,1.7748702936319135e-06
2005-04-06,0.9999987166128499,2.5981388513508054e-08,1.2574073527844597e-06
2005-04-07,0.9999979418992813,3.7998772035801325e-08,2.020101144978486e-06
2005-04-08,0.9999961582289998,3.266275266036658e-08,3.8091095231627133e-06
2005-04-11,0.9999989916837503,1.957077459947813e-08,9.887447027479141e-07
2005-04-12,0.9999982748974036,1.8353395564473687e-08,1.7067483341566298e-06
2005-04-13,0.9999927523939528,5.2546993104837514e-08,7.19505956716488e-06
2005-04-14,0.9999417739744723,4.0365803939298886e-07,5.7822367662649196e-05
2005-04-15,0.9995736912538244,2.0915375358206285e-06,0.00042421720921617076
2005-04-18,0.9999403526017029,1.3065887963807146e-06,5.8340810263351396e-05
2005-04-19,0.9999485416699656,6.252995065753584e-07,5.083302877806718e-05
2005-04-20,0.9996937927764562,9.253614590121708e-07,0.0003052818619719358
2005-04-21,0.9991665490878684,1.854339443927384e-06,0.0008315965743245278
2005-04-22,0.9999672184738266,5.383178118349488e-07,3.224320923388049e-05
2005-04-25,0.999995552780886,1.3129266528219547e-07,4.315924676421417e-06
2005-04-26,0.9999936796684423,7.03072106105536e-08,6.2500258240741535e-06
2005-04-27,0.9999928271466024,1.6565831761676423e-07,7.007193335599651e-06
2005-04-28,0.9999286728716908,5.887062727522728e-07,7.073842247839667e-05
2005-04-29,0.9999275840483253,5.457704636271083e-07,7.187018251104426e-05
2005-05-02,0.9999903054846694,2.0048191843206518e-07,9.49403166915698e-06
2005-05-03,0.9999977984140648,7.382475091773543e-08,2.127759628940667e-06
2005-05-04,0.9999934349286329,1.0204471885306543e-07,6.4630280617261375e-06
2005-05-05,0.9999985678924782,3.9024175531791185e-08,1.3930849221107536e-06
2005-05-06,0.9999976203281341,3.4666768160312646e-08,2.3450038812964416e-06
2005-05-09,0.9999978310575772,4.3756696630187465e-08,2.125185555876539e-06
2005-05-10,0.9999913661167568,9.247052127888906e-08,8.541411822762239e-06
2005-05-11,0.9999966945597467,8.002008076492802e-08,3.225418549429492e-06
2005-05-12,0.9999740890608333,2.2548344374988573e-07,2.56854567814859e-05
2005-05-13,0.9999915485743872,2.1248208484723123e-07,8.23894401977323e-06
2005-05-16,0.9999848462632552,2.1043587246845547e-07,1.4943300212044222e-05
2005-05-17,0.9999960964017893,7.592437197223996e-08,3.827672429883038e-06
2005-05-18,0.9999948960779158,3.630738483821593e-08,5.067615594406106e-06
2005-05-19,0.9999985106526033,3.338346140581151e-08,1.455963061625796e-06
2005-05-20,0.999998646185311,2.8998363264673397e-08,1.32481452931622e-06
2005-05-23,0.9999980663106323,2.3137200332456016e-08,1.9105506940704584e-06
2005-05-24,0.9999989503017839,2.1392773498003607e-08,1.0283062285894571e-06
2005-05-25,0.9999985198894177,2.2347325776798612e-08,1.4577615373784507e-06
2005-05-26,0.999998727304856,2.443905033018874e-08,1.2482546089252205e-06
2005-05-27,0.9999990374130988,2.192867986672733e-08,9.406581091651817e-07
2005-05-31,0.9999933153490617,6.979843148367286e-08,6.614851741285708e-06
2005-06-01,0.999996525903621,3.3468648379859275e-09,3.4707497378115723e-06
2005-06-02,0.9999988180577638,2.805750236577719e-09,1.1791379881593953e-06
2005-06-03,0.999998522177703,2.7877832875204844e-09,1.4750343341134995e-06
2005-06-06,0.9999991746120709,2.976023111558671e-09,8.224127443570277e-07
2005-06-07,0.9999990078218081,3.6657643929855164e-09,9.8851372251705e-07
2005-06-08,0.9999992580417735,3.0492578725684017e-09,7.389078743890816e-07
2005-06-09,0.9999992634259781,3.329899077276651e-09,7.33243551650452e-07
2005-06-10,0.9999971225629922,3.5277385828390017e-09,2.873910121087323e-06
2005-06-13,0.999999030009819,3.727097973115584e-09,9.66262426003926e-07
2005-06-14,0.9999991123117372,3.915191591155484e-09,8.837721972320076e-07
2005-06-15,0.99999933392632,2.9200282700625926e-09,6.631543498505157e-07
2005-06-16,0.999998243250681,2.7903739441026884e-09,1.7539573224149511e-06
2005-06-17,0.9999992904597791,2.988132029341615e-09,7.065526390810602e-07
2005-06-20,0.9999993317944659,3.133086804174021e-09,6.650732946241343e-07
2005-06-21,0.9999990082911069,3.4272853096019326e-09,9.88280952201913e-07
2005-06-22,0.9999976007231132,5.1629559213695184e-09,2.394114433351859e-06
2005-06-23,0.9999884870711588,4.8852841816254375e-09,1.1508041949732232e-05
2005-06-24,0.9999980594093998,5.941463006234716e-09,1.9346488669774096e-06
2005-06-27,0.9999993685416659,3.07682989494063e-09,6.283823473586834e-07
2005-06-28,0.9999974827182847,7.004340631280147e-09,2.510278409168359e-06
2005-06-29,0.9999991771040844,3.0439725201753216e-09,8.198521613266818e-07
2005-06-30,0.9999976670505859,7.516145677913485e-09,2.3254337473192606e-06
2005-07-01,0.9999955633709954,6.7568291640606144e-09,4.4298713484867386e-06
2005-07-05,0.9999970711948807,6.5096394383433345e-09,2.9222966594718768e-06
2005-07-06,0.999997749945381,4.97763792922689e-09,2.245076238148416e-06
2005-07-07,0.9999993334206413,2.2472358086894447e-09,6.64330756742762e-07
2005-07-08,0.9999974985107111,4.613479598267618e-09,2.496873996477073e-06
2005-07-11,0.9999991271110219,2.4160545566552776e-09,8.704717104499293e-07
2005-07-12,0.9999990296896772,3.0196682900041034e-09,9.672914116801945e-07
2005-07-13,0.9999990168185208,3.5036417385998678e-09,9.796774953473942e-07
2005-07-14,0.9999985452824726,4.240622884109343e-09,1.4504777881038429e-06
2005-07-15,0.9999989527246752,3.1131411465654785e-09,1.0441611826115924e-06
2005-07-18,0.9999984046566162,2.923779642948777e-09,1.5924182440565703e-06
2005-07-19,0.9999988058923772,3.0116601632042477e-09,1.191096369579886e-06
2005-07-20,0.9999987711606356,2.555222042755936e-09,1.226284621549708e-06
2005-07-21,0.9999930556646281,2.6787416050461325e-09,6.941655988294964e-06
2005-07-22,0.9999983545253495,2.5203925010991073e-09,1.6429542827829601e-06
2005-07-25,0.9999990200999744,2.6494679093231516e-09,9.772507028697926e-07
2005-07-26,0.999999045791356,3.3502207633880744e-09,9.508596440124837e-07
2005-07-27,0.9999990096626236,2.9131705037649795e-09,9.874242421356616e-07
2005-07-28,0.9999984138934297,2.0563720199951493e-09,1.584049240664798e-06
2005-07-29,0.9999973860065042,2.259281352698655e-09,2.611733197091871e-06
2005-08-01,0.99999909642106,1.4997539297859917e-09,9.020803323301302e-07
2005-08-02,0.9999991272237992,1.887779762335898e-09,8.70890168525855e-07
2005-08-03,0.9999991620865203,1.32879735294723e-09,8.365831863255179e-07
2005-08-04,0.9999983530919881,1.6628988080312733e-09,1.645243941365102e-06
2005-08-05,0.9999983662796397,1.4583317956567737e-09,1.6322636687524022e-06
2005-08-08,0.9999992840605789,1.707854060101998e-09,7.14231910782745e-07
2005-08-09,0.9999991838197877,1.411754605563421e-09,8.147683022763681e-07
2005-08-10,0.9999992543965215,1.4173344393422878e-09,7.441877225721592e-07
2005-08-11,0.9999979447914685,1.3176334236736922e-09,2.0538917773066e-06
2005-08-12,0.9999977054711912,3.512093275502682e-09,2.291014908747e-06
2005-08-15,0.9999987831914168,2.242415659604299e-09,1.2145655794796747e-06
2005-08-16,0.9999891297784057,4.5948340503447325e-09,1.0865628183954651e-05
2005-08-17,0.9999983967185592,2.4145084494195935e-09,1.6008655844583764e-06
2005-08-18,0.9999990790097093,1.8533708790126691e-09,9.191376302043729e-07
2005-08-19,0.9999993000603984,1.7140494609088407e-09,6.982238512480833e-07
2005-08-22,0.999999385436429,1.4803596465058738e-09,6.130836540636246e-07
2005-08-23,0.999999268791993,1.6819982291486934e-09,7.295270503319028e-07
2005-08-24,0.9999981317577465,2.389778547956996e-09,1.8658534985158302e-06
2005-08-25,0.9999992589658194,1.4808125182991176e-09,7.395549689530268e-07
2005-08-26,0.99999885294594,1.8772876647793654e-09,1.1451784478180442e-06
2005-08-29,0.9999988788374058,1.7362634041375287e-09,1.1194246929359183e-06
2005-08-30,0.9999968706737341,4.306877040815559e-09,3.125018590114477e-06
2005-08-31,0.9999961510949508,1.1084500286501216e-09,3.8477979380178256e-06
2005-09-01,0.9999951577855337,2.495231825092073e-09,4.839720231328305e-06
2005-09-02,0.9999993179010341,1.8664864337601603e-09,6.802320184380084e-07
2005-09-06,0.9999962897559889,4.933252699697733e-09,3.70531040122392e-06
2005-09-07,0.9999988164716069,2.3355465341817792e-09,1.1811926373274412e-06
2005-09-08,0.9999991859589175,1.7329950028524963e-09,8.1230774381497e-07
2005-09-09,0.999998800504537,1.597032168923143e-09,1.1978979020585044e-06
2005-09-12,0.9999989760622852,1.904214738228025e-09,1.022034283288699e-06
2005-09-13,0.9999982552414381,3.7318500852127545e-09,1.7410257332262505e-06
2005-09-14,0.999998752130392,1.677020595391053e-09,1.2461942071870084e-06
2005-09-15,0.9999981320960779,2.070601898633262e-09,1.8658337854371292e-06
2005-09-16,0.9999979408297177,3.1049908548437963e-09,2.056066540622924e-06
2005-09-19,0.9999989426911403,1.811520464367983e-09,1.0554983109308074e-06
2005-09-20,0.9999981361051231,2.8824406838269643e-09,1.8610116006246508e-06
2005-09-21,0.9999895434267371,4.393076268348448e-09,1.045218042580981e-05
2005-09-22,0.9999981120363005,3.060507590816896e-09,1.8849017810867975e-06
2005-09-23,0.9999991393709999,2.0592150536688805e-09,8.585708481574399e-07
2005-09-26,0.9999991432236162,1.863558400758291e-09,8.549113543804278e-07
2005-09-27,0.9999992407504732,2.1572796323380616e-09,7.570920827122636e-07
2005-09-28,0.9999989532885614,1.5940094430860607e-09,1.0451174222102974e-06
2005-09-29,0.9999984929247591,2.6636996600146084e-09,1.5044132576494802e-06
2005-09-30,0.999999068092145,2.450308383339609e-09,9.294573444215572e-07
