,SPY,TLT,GLD,regime
2008-01-07,0.3499999997348062,0.3999999980445119,0.2500000022206338,Bull
2008-01-08,0.24999994985916318,0.5999954709969714,0.15000457914386567,Crisis
2008-01-09,0.24999998989955935,0.59999990568999,0.15000010441045045,Crisis
2008-01-10,0.24999995725574306,0.5999997754189942,0.15000026732526248,Crisis
2008-01-11,0.24999997896279685,0.5999998056368,0.15000021540040545,Crisis
2008-01-14,0.2499999377658389,0.5999995906473077,0.15000047158685348,Crisis
2008-01-15,0.24999996992118356,0.5999996551921679,0.15000037488665127,Crisis
2008-01-16,0.24999997541023977,0.5999997254348921,0.15000029915486873,Crisis
2008-01-17,0.24999998018377456,0.5999997895122565,0.15000023030397094,Crisis
2008-01-18,0.24999998330317486,0.5999998344943959,0.15000018220243028,Crisis
2008-01-22,0.24999992714667774,0.5999995836404559,0.15000048921286657,Crisis
2008-01-23,0.24999996859986903,0.599999638243,0.15000039315713312,Crisis
2008-01-24,0.24999997157906137,0.5999997050454063,0.15000032337553254,Crisis
2008-01-25,0.2499998723254172,0.599998803383472,0.15000132429111074,Crisis
2008-01-28,0.2499999535330972,0.5999988398731062,0.15000120659379684,Crisis
2008-01-29,0.24999995990893922,0.5999989473576973,0.15000109273336332,Crisis
2008-01-30,0.24999996479385103,0.5999990412190523,0.15000099398709688,Crisis
2008-01-31,0.24999984840526385,0.5999976738524184,0.1500024777423177,Crisis
2008-02-01,0.2499999127107748,0.5999977676209692,0.15000231966825628,Crisis
2008-02-04,0.24999990330965757,0.5999978636877603,0.1500022330025821,Crisis
2008-02-05,0.2499998951686675,0.5999978998301412,0.1500022050011918,Crisis
2008-02-06,0.2499998708324573,0.5999980017471789,0.15000212742036378,Crisis
2008-02-07,0.2499998594348798,0.5999980717153801,0.15000206884974018,Crisis
2008-02-08,0.249999902409132,0.5999976788132793,0.15000241877758863,Crisis
2008-02-11,0.2499999121045503,0.599997264508787,0.15000282338666313,Crisis
2008-02-12,0.24999990594975008,0.5999970289840049,0.15000306506624492,Crisis
2008-02-13,0.2499999126152398,0.5999968873542242,0.15000320003053605,Crisis
2008-02-14,0.249999920592314,0.5999966448995273,0.15000343450815914,Crisis
2008-02-15,0.2499999156891999,0.5999957730889783,0.1500043112218217,Crisis
2008-02-19,0.2499999027390925,0.5999946290648742,0.15000546819603353,Crisis
2008-02-20,0.2499998858610937,0.5999928593348743,0.15000725480403218,Crisis
2008-02-21,0.2499998696335713,0.5999916856402977,0.15000844472613165,Crisis
2008-02-22,0.24999983748076465,0.599987051379427,0.15001311113980825,Crisis
2008-02-25,0.2499999439935142,0.599985787180321,0.1500142688261646,Crisis
2008-02-26,0.24999996270689412,0.5999852201235322,0.15001481716957357,Crisis
2008-02-27,0.24999993845119103,0.5999836602095415,0.15001640133926744,Crisis
2008-02-28,0.2499999438540251,0.599796843648802,0.1502032124971724,Crisis
2008-02-29,0.2499999158485089,0.5980797824687658,0.15192030168272525,Crisis
2008-03-03,0.2499999605231295,0.5964053710016685,0.15359466847520187,Crisis
2008-03-04,0.24999999441668702,0.5922683198945573,0.15773168568875567,Crisis
2008-03-05,0.24999999172413162,0.5922637788735093,0.157736229402359,Crisis
2008-03-06,0.24999999260777853,0.5903019105448422,0.15969809684737898,Crisis
2008-03-07,0.24999999417011906,0.59029905777671,0.15970094805317134,Crisis
2008-03-10,0.24999999655275132,0.5902977745936164,0.15970222885363253,Crisis
2008-03-11,0.24999998187559144,0.5902796490200818,0.1597203691043268,Crisis
2008-03-12,0.24999998816159727,0.5902735782598943,0.15972643357850816,Crisis
2008-03-13,0.24999999167668802,0.5885781173602345,0.16142189096307769,Crisis
2008-03-14,0.24999997614548064,0.5877216572621664,0.16227836659235292,Crisis
2008-03-17,0.2499999761772168,0.5869590137338087,0.16304101008897454,Crisis
2008-03-18,0.24999996681764722,0.5865949776723227,0.16340505551003015,Crisis
2008-03-19,0.2499999945147677,0.5846223137400905,0.16537769174514172,Crisis
2008-03-20,0.24999999832673492,0.5846217694916959,0.16537823218156947,Crisis
2008-03-24,0.24999998974369284,0.5846130380049029,0.1653869722514041,Crisis
2008-03-25,0.24999998168143645,0.583756285624369,0.16624373269419462,Crisis
2008-03-26,0.24999999850902957,0.5837556996377702,0.1662443018532001,Crisis
2008-03-27,0.24999998894231706,0.5837420894820163,0.1662579215756669,Crisis
2008-03-28,0.24999998109604854,0.5837056183422606,0.16629440056169117,Crisis
